step,t(s),meas_pos(m),meas_vel(m/s),est_pos(m),est_vel(m/s),u(m/s^2)
193,1.93,5.85399,-0.172211,5.83414,0.0588609,-0.586357
194,1.94,5.87796,-0.125611,5.84337,0.0804806,-0.588361
195,1.95,5.86282,-0.128603,5.84791,0.089803,-0.589281
196,1.96,5.73659,-0.195988,5.82636,0.0336937,-0.584321
197,1.97,5.85366,-0.176554,5.83209,0.0471754,-0.585568
198,1.98,5.85414,-0.20287,5.83688,0.0579631,-0.586586
199,1.99,5.72925,-0.168303,5.81582,0.00385973,-0.581775
200,2,5.852,-0.155148,5.82308,0.0219309,-0.583405
201,2.01,5.8057,-0.169485,5.81978,0.0131319,-0.582635
202,2.02,5.79967,-0.206508,5.81586,0.00300975,-0.581737
203,2.03,5.92016,-0.199278,5.83675,0.0551431,-0.586432
204,2.04,5.77984,-0.20449,5.82581,0.0264124,-0.583901
205,2.05,5.79071,-0.196959,5.819,0.00873056,-0.582336
206,2.06,5.84874,-0.247861,5.82502,0.0235595,-0.58368
207,2.07,5.90329,-0.232223,5.84086,0.0625791,-0.587215
208,2.08,5.76578,-0.220785,5.82635,0.0247257,-0.583871
209,2.09,5.76846,-0.238415,5.81497,-0.00433927,-0.58128
210,2.1,5.84043,-0.241991,5.82002,0.00841284,-0.582423
211,2.11,5.77096,-0.238989,5.81028,-0.0161594,-0.58022
212,2.12,5.80217,-0.276082,5.80853,-0.0201307,-0.579846
213,2.13,5.74466,-0.260816,5.79559,-0.0519668,-0.576961
214,2.14,5.74379,-0.247466,5.78482,-0.0776085,-0.574601
215,2.15,5.87266,-0.264371,5.80177,-0.0332979,-0.578512
216,2.16,5.77706,-0.266305,5.79656,-0.0454822,-0.577382
217,2.17,5.74841,-0.251442,5.78657,-0.069327,-0.57519
218,2.18,5.77013,-0.274942,5.78272,-0.0771994,-0.574412
219,2.19,5.76662,-0.289023,5.77889,-0.0848651,-0.573645
220,2.2,5.84378,-0.314859,5.79118,-0.0519938,-0.576519
221,2.21,5.72533,-0.289119,5.7776,-0.0846616,-0.573527
222,2.22,5.73937,-0.320035,5.76928,-0.103352,-0.57176
223,2.23,5.79525,-0.28911,5.77364,-0.0898493,-0.572872
224,2.24,5.75958,-0.336849,5.77011,-0.0964321,-0.57219
225,2.25,5.77668,-0.317272,5.77065,-0.0926648,-0.572432
226,2.26,5.79305,-0.366764,5.77439,-0.0810051,-0.573389
227,2.27,5.74752,-0.316397,5.76837,-0.0940344,-0.572135
228,2.28,5.78229,-0.370789,5.7704,-0.0866051,-0.57271
229,2.29,5.71954,-0.322016,5.75954,-0.111604,-0.570373
230,2.3,5.77699,-0.335776,5.76213,-0.102319,-0.571097
231,2.31,5.72989,-0.371749,5.75487,-0.117929,-0.56959
232,2.32,5.78485,-0.363129,5.75992,-0.102347,-0.570875
233,2.33,5.64017,-0.368249,5.73515,-0.161711,-0.565429
234,2.34,5.63417,-0.377961,5.71366,-0.211394,-0.560796
235,2.35,5.68575,-0.38108,5.70639,-0.22429,-0.559424
236,2.36,5.7504,-0.40787,5.7134,-0.201164,-0.561281
237,2.37,5.78602,-0.405806,5.72631,-0.163845,-0.564439
238,2.38,5.70205,-0.388835,5.72015,-0.175157,-0.563257
